72 3
-2.460295 16.940329 22.939142
38.236618 28.609375 -22.110384
-35.017822 -1.049452 -22.110384
-35.017822 -1.049452 22.939142
-16.413519 -1.049452 22.939142
-35.017822 28.609375 1.486988
-12.925213 28.609375 22.939142
11.492933 28.609375 22.939142
-18.739058 28.609375 -22.110384
-4.785830 28.609375 -22.110384
-1.297526 14.023067 3.632202
-22.227364 29.581797 11.497992
-16.413519 -1.049452 -22.110384
38.236618 28.609375 22.939142
-9.436907 11.592015 -22.110384
16.144007 11.105805 22.939142
-24.552900 1.867810 -11.384306
38.236618 12.564436 -22.110384
11.492933 -1.049452 -22.110384
-24.552900 1.867810 1.486988
-35.017822 18.398960 22.939142
24.283392 -1.049452 22.939142
-21.064594 17.426538 22.939142
-1.297526 -1.049452 22.939142
-11.762444 29.581797 -10.669234
9.167395 17.912750 11.497992
38.236618 28.609375 -4.948660
-24.552900 17.912750 1.486988
38.236618 28.609375 7.922634
27.771696 1.867810 11.497992
-12.925213 13.536857 -5.663731
3.353552 11.592015 -22.110384
38.236618 -1.049452 -22.110384
26.608927 29.581797 -10.669234
19.632315 1.867810 -11.384306
-2.460295 -1.049452 -22.110384
-8.274137 1.867810 1.486988
26.608927 -1.049452 -22.110384
-28.041208 28.609375 22.939142
11.492933 29.581797 -15.674738
20.795084 1.867810 0.771915
-35.017822 14.995487 -22.110384
14.981241 29.095587 9.352777
12.655703 1.867810 11.497992
-8.274137 1.867810 -11.384306
-22.227364 17.912750 -11.384306
2.190782 17.912750 -11.384306
-24.552900 11.592015 -22.110384
6.841860 1.867810 0.056842
-24.552900 10.619595 11.497992
-4.785830 27.636955 3.632202
25.446161 28.609375 22.939142
26.608927 29.581797 3.632202
4.516321 1.867810 -11.384306
2.190782 29.581797 11.497992
26.608927 17.912750 22.939142
-12.925213 17.912750 11.497992
18.469545 11.105805 -22.110384
17.306776 17.912750 -11.384306
23.120623 28.609375 -22.110384
11.492933 14.995487 -2.803444
1.028013 1.867810 11.497992
11.492933 28.123165 -3.518517
-35.017822 28.609375 -12.814450
-35.017822 28.609375 -22.110384
38.236618 7.702333 22.939142
38.236618 -1.049452 22.939142
27.771696 17.912750 8.637707
27.771696 17.912750 -0.658228
1.028013 29.095587 -7.808947
-12.925213 7.702333 11.497992
26.608927 17.912750 -22.110384
